date,day,risk_index,controller,plan_purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh,waste_kwh,soc_start_kwh,soc_end_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-06-02,152,0,mpc,87037.06654702124,0.0,20176.79061497916,14253.477683569141,12472.946165611216,5597.171015063455,7919.085142356763,58666.96490804419,0.0,58666.96490804419
2025-06-03,153,0,mpc,84788.31285592877,74.66734012735276,18602.35084838525,14908.965201351777,12977.227715689336,7919.085142356763,8095.684015512622,57940.04670134507,510.98561151480726,58451.032312859876
2025-06-04,154,0,mpc,81770.89003747233,10.083631643783974,18211.654572821466,15397.304820950616,9321.363100578601,8095.684015512622,7378.056663329036,56330.98925646246,70.83247048176052,56401.82172694422
2025-06-05,155,0,mpc,82399.41905815958,22.27372849721371,21053.55449976802,17119.102963945465,7337.923234167562,7378.056663329036,7305.030197625295,56975.3812715356,153.61834276966562,57128.99961430527
2025-06-06,156,0,mpc,34904.66400029512,1693.935208967046,17167.16866389416,15285.381861364789,3861.817006732788,7305.030197625295,5771.724371391386,16997.894766326513,9320.972897422558,26318.86766374907
2025-06-07,157,0,mpc,44577.916180544904,0.0,17336.754591852605,13063.91385998409,9178.562282009721,5771.724371391386,6859.34365963196,22202.06749090388,0.0,22202.06749090388
2025-06-08,158,0,mpc,97181.42198231333,0.0,16001.55946238618,11604.89169067497,27599.83094393547,6859.34365963196,8366.423075029552,67543.47188246908,0.0,67543.47188246908
2025-06-09,159,0,mpc,82027.96810944579,32.21168843387852,19420.279194033814,16740.348877539825,8447.53674805235,8366.423075029552,7244.286707949074,57146.18883248228,227.68831969487033,57373.87715217715
2025-06-10,160,0,mpc,82162.58651848948,0.0,21141.894622932436,17236.3348231661,6638.5824853898075,7244.286707949074,7120.508731737044,56474.87404833147,0.0,56474.87404833147
2025-06-11,161,0,mpc,82103.93889167326,308.7517802627165,25011.1622084321,20990.542433222712,2307.624580059912,7120.508731737044,6307.729793522925,56045.74789767182,1813.1159062907004,57858.86380396252
2025-06-12,162,0,mpc,88051.63695545221,0.0,19903.49171721864,15438.38321516295,11134.137020063175,6307.729793522925,7067.113211060867,60710.046546221965,0.0,60710.046546221965
2025-06-13,163,0,mpc,36028.67231994921,253.05182380814304,16042.24903941403,13854.159659199022,5748.321063542346,7067.113211060867,6111.626614090136,17653.470598176857,1354.6010979698588,19008.071696146715
2025-06-14,164,0,mpc,39066.16781069621,0.0,16790.033766222507,13103.486269013001,9186.27756348671,6111.626614090136,6663.227815898168,19992.25031570858,0.0,19992.25031570858
2025-06-15,165,0,mpc,87903.04396823511,0.0,19656.154427616602,14941.302993416584,12561.21820070177,6663.227815898168,7752.319030290233,60421.84761804692,0.0,60421.84761804692
2025-06-16,166,0,mpc,80279.86805097922,73.25456403873386,19661.670725546843,16902.445028817187,4899.844101621627,7752.319030290233,6667.32820681886,55435.40914056625,496.1608715899654,55931.57001215621
2025-06-17,167,0,mpc,82203.1982645937,697.9802115360864,21704.699762322733,18096.95484919139,4656.42234633177,6667.32820681886,6093.8303826966685,56002.53139971888,3804.7552187999518,59807.28661851883
2025-06-18,168,0,mpc,84761.30472150104,0.0,19287.181688869256,14864.334928765447,9410.067061397225,6093.8303826966685,6936.366204050728,58418.469172781595,0.0,58418.469172781595
2025-06-19,169,0,mpc,80904.7631683566,83.25799072188079,20035.825068011836,16513.197605145462,9205.889496212107,6936.366204050728,6620.611426210867,54660.740105338555,584.4090710611457,55245.149176399704
2025-06-20,170,0,mpc,34509.52903965369,0.0,17631.902739285244,14433.571760926514,8910.617211294955,6620.611426210867,6452.021934982569,16967.901177732485,0.0,16967.901177732485
2025-06-21,171,0,mpc,35788.29987989695,0.0,19713.2390795992,15418.567944280421,12158.888344578168,6452.021934982569,7062.194946310271,17403.531194247567,0.0,17403.531194247567
